text,class
Finnish airline Finnair is starting the temporary layoffs of cabin crews in February 2010 .,0
"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .",1
"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 .",0
"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",1
"Vaisala Oyj Stock exchange release 26.03.2010 klo 09.00 1 ( 1 ) The Annual General Meeting of Vaisala Oyj decided on March 25 , 2010 to approve the Company 's annual accounts for 2009 .",1
The product 's front-edge folding maximizes weather resilience and enables a seamless roof finish .,1
Raute is listed on the Nordic exchange in Helsinki .,1
KESKO FOOD LTD PRESS RELEASE 04.01.2006 AT 13.00 Kesko Food Ltd is launching a major TV campaign to recruit as many as one hundred new K-food retailers .,2
W+Ærtsil+Æ 's aim is to serve the rapidly growing number of vessels and increasing marine activity in the Barents Sea region .,1
A tinyurl link takes users to a scamming site promising that users can earn thousands of dollars by becoming a Google ( NASDAQ : GOOG ) Cash advertiser .,0
Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .,2
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",1
"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press .",1
"Since the registration of the shares subscribed in a directed share issue , the new number of Panostaja shares and voting rights is 41,733,110 .",1
"A worm set to activate Friday will corrupt documents using the most common file types , including '' .",1
"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia .",2
Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 .,1
"Body The credit falls due February 24 , 2014 .",1
The amendment will not incur additional costs .,1
"Sales in Finland decreased by 2.0 % , and international sales decreased by 9.3 % in terms of euros , and by 15.1 % in terms of local currencies .",0
"So far as is known , he did not sell shares that he owns personally .",1
"ALEXANDRIA , Va. , Jan. 9 -- United States Patent no. 7,862,685 , issued on Jan. 4 , was assigned to Kemira Chemicals Inc. ( Marietta , Ga. ) .",1
Karppinen expects the consolidation trend to continue in the Finnish market .,1
We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .,1
"Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before .",0
"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda , Brazil and from Cumerio Med JSCo , Bulgaria .",2
The company expects net sales of 65 mln euro ( $ 85.1 mln ) for 2006 .,1
The growth of net sales has continued favourably in the Middle East and Africaand in Asia Pacific .,2
"In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 .",0
"Commission income decreased to EUR 3.8 mn , compared to EUR 4.6 mn in the third quarter of 2007 .",0
"Last week , however , Nokia announced that it will pursue a long-term relationship with Microsoft , and make the Windows Phone 7 operating system the foundation for Nokia mobile phones .",1
"These new units will be built at Cargotec 's state of the art manufacturing facility in San Antonio , Texas , USA , which started operations in 2009 .",1
Elisa CEO Sami Seppanen said EMT 's slogan `` Best coverage across Estonia '' clearly gives misleading information to consumers .,0
The chain is to unite 45-50 centres by the end of 2008 .,1
"At present , the trade mark Pit-Produkt is little-known outside the North-West of Russia .",0
"The two companies will also partner in further developing Raiso 's cholesterol lowering brand , Benecol .",2
